主体,公司全称,股票代码,指标,FY2023,FY2024,FY2025,单位,口径说明,主要来源
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,营业收入/收益,"4,896","4,643","5,448",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,收入同比增长,0.29%,-5.17%,17.34%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,毛利,"3,130","3,018","3,243",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,毛利率,63.93%,65.00%,59.53%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,经营利润/营业利润,-96,-1,4,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,经营利润率,-1.96%,-0.02%,0.07%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,净利润/股东应占利润,-52,6,-25,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,EBITDA,787,904,928,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,EBITDA率,16.07%,19.47%,17.03%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,经营现金流,"1,127","1,081","1,211",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,资本开支,-481,-434,-440,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,自由现金流,646,647,771,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,现金及等价物,"1,910","3,168",594,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,总资产,"14,560","13,970","13,412",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
3HK / Hutchison,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,总债务,482,463,401,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,和记电讯香港2025年度业绩演示: https://www.hthkh.com/en/ir/presentation/pre260309.pdf；和记电讯香港2025年度业绩新闻稿: https://www.hthkh.com/en/media/press.php?prid=%2Fpress%2Fp260309；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/0215/financials/
HKBN,HKBN Ltd.,1310.HK,营业收入/收益,"11,692","10,651","11,129",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,收入同比增长,0.57%,-8.91%,4.48%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,毛利,"4,047","3,904","3,974",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,毛利率,34.61%,36.65%,35.71%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,经营利润/营业利润,721.13,864.88,917.49,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,经营利润率,6.17%,8.12%,8.24%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,净利润/股东应占利润,"-1,267",10.28,206.86,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,EBITDA,"1,861","1,950","1,954",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,EBITDA率,15.91%,18.30%,17.56%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,经营现金流,"1,983","2,058","1,911",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,资本开支,-489.39,-362.71,-493.58,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,自由现金流,"1,493","1,696","1,417",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,现金及等价物,"1,017","1,217","1,192",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,总资产,"18,148","17,669","17,253",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKBN,HKBN Ltd.,1310.HK,总债务,"11,493","11,502","11,291",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKBN 2026财年中期业绩: https://www.hkbn.net/group/en/newsroom/press-releases/20260424_FY26_Interim_Results；HKBN 2025财年年度业绩: https://www.hkbn.net/group/en/press-release/hkbn-announces-fy2025-annual-results-net-profit-soars-with-strong-ebitda-growth-sustained-dividend-distribution/；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/1310/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,营业收入/收益,"34,330","34,753","36,553",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,收入同比增长,0.60%,1.23%,5.18%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,毛利,"16,876","17,043","17,413",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,毛利率,49.16%,49.04%,47.64%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,经营利润/营业利润,"7,746","8,248","8,289",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,经营利润率,22.56%,23.73%,22.68%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,净利润/股东应占利润,"4,991","5,070","5,286",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,EBITDA,"9,934","10,225","10,064",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,EBITDA率,28.94%,29.42%,27.53%,millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,经营现金流,"11,261","11,911","11,628",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
HKT / csl / 1O1O,HKT Trust and HKT Limited,6823.HK,资本开支,"-2,138","-2,037","-1,977",millions HKD,三年财务表采用 StockAnalysis 对港股公告的标准化表格；回答正式结论时应优先引用官方年报/业绩公告复核关键数。,HKT 2025年度业绩演示: https://www.hkt.com/api-service/assets/c01-2025_Annual_Results.pdf；HKT 2025年度业绩公告: https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf；StockAnalysis income_statement: https://stockanalysis.com/quote/hkg/6823/financials/
